_ID_;_MAIN_CATEGORY_;_CATEGORY_;_NAME_;_SKU_;_MANUFACTURER_;_PRICE_;_QUANTITY_;_ATTRIBUTES_;_DESCRIPTION_;_SORT_ORDER_
5427182;Канцелярские товары;Штемпельная продукция|Краски штемпельные;Краска штемпельная черная на водной основе с дозатором 50 мл;14-5095;отсутствует (Китай);26.33;111;"Характеристики|Основа|на водной основе
Характеристики|Цвет|чёрный
Характеристики|Объем, мл|50
Характеристики|Срок годности в днях|1 825";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Штемпельная краска черного цвета на водной основе для дозаправки настольных штемпельных подушек. Используется с резиновым и полимерным клише. Предназначена для всех видов бумаги (кроме глянцевой) и картона. Флакон имеет дозатор, цвет указан на этикетке. Объем 50 мл</span><br></p>";1264
5427185;Канцелярские товары;Штемпельная продукция|Краски штемпельные;Краска штемпельная фиолетовая на водной основе с дозатором 50 мл;14-5096;отсутствует (Китай);26.9;5;"Характеристики|Основа|на водной основе
Характеристики|Цвет|фиолетовый
Характеристики|Объем, мл|50
Характеристики|Срок годности в днях|730";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Штемпельная краска фиолетового цвета на водной основе для дозаправки настольных штемпельных подушек. Используется с резиновым и полимерным клише. Предназначена для всех видов бумаги (кроме глянцевой) и картона. Флакон имеет дозатор, цвет указан на этикетке. Объем 50 мл</span><br></p>";1265
5427194;Канцелярские товары;Штемпельная продукция|Краски штемпельные;Краска штемпельная красная на водной основе с дозатором 50 мл;14-5097;отсутствует (Китай);26.33;101;"Характеристики|Основа|на водной основе
Характеристики|Цвет|красный
Характеристики|Объем, мл|50
Характеристики|Срок годности в днях|730";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">Штемпельная краска красного цвета на водной основе для дозаправки настольных штемпельных подушек. Используется с резиновым и полимерным клише. Предназначена для всех видов бумаги (кроме глянцевой) и картона. Флакон имеет дозатор, цвет указан на этикетке. Объем 50 мл</span><br></p>";1266
5427230;Канцелярские товары;Штемпельная продукция|Подушки настольные;Подушка штемпельная настольная Colop MICRO 1 черная 50х90 мм;14-5100;Colop (Чешская Республика);110.61;1;"Характеристики|Бренд|Colop
Характеристики|Материал|пластик
Характеристики|Цвет чернил|чёрный
Характеристики|Размер, мм|50х90";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Подушка штемпельная настольная Colop Micro 1** поставляется в пластиковом корпусе без замка. Заправлены черной краской на водной основе с содержанием глицерина. Используются для окрашивания ручных штампов, изготовленных из резины или полимера. Размер оттиска 50 х 90мм. Минимальный срок хранения 5 лет.</span><br></p>";1267
5427237;Канцелярские товары;Штемпельная продукция|Подушки настольные;Подушка штемпельная настольная Colop MICRO 1 фиолетовая 50х90 мм;14-5101;Colop (Чешская Республика);98.85;0;"Характеристики|Бренд|Colop
Характеристики|Материал|пластик
Характеристики|Цвет чернил|фиолетовый
Характеристики|Размер, мм|50х90";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Подушка штемпельная настольная Colop Micro 1** поставляется в пластиковом корпусе без замка. Заправлены фиолетовой краской на водной основе с содержанием глицерина. Используются для окрашивания ручных штампов, изготовленных из резины или полимера. Размер оттиска 50 х 90мм. Минимальный срок хранения 5 лет.</span><br></p>";1268
5427474;Канцелярские товары;Штемпельная продукция|Подушки сменные;Подушка штемпельная сменная E/55 синяя для PRINTER 55, 55 SET-F, 55 DATER, 55 DATER-SET;14-5103;Colop (Австрия);131.57;54;"Характеристики|Срок годности в днях|1 800
Характеристики|Бренд|Colop
Характеристики|Материал|пластик
Характеристики|Форма подушки|прямоугольная
Характеристики|Цвет чернил|синий";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Сменная штемпельная подушка Colop E/55** с краской синего цвета на водной основе с добавлением глицерина. Позволяет получить не менее 10 000 четких оттисков. Не рекомендуется заправлять краской - плотный верхний слой не пропустит ее внутрь. Поставляется в пластиковом футляре. Расходный материал Colop подходит только для продукции Colop.</span><br></p>";1269
5427588;Канцелярские товары;Штемпельная продукция|Штампы самонаборные;Штамп самонаборный карманный Colop POCKET STAMP PLUS 20 SET 4 строки, 14 х 38 мм;14-5104;Colop (Австрия);705.75;0;"Характеристики|Бренд|Colop
Характеристики|Материал|пластик
Характеристики|Тип|автоматический
Характеристики|Самонаборный|да
Характеристики|Количество строк|4
Характеристики|Размер шрифта|2,2-3,1
Характеристики|Размер поля/оттиска|14 х 38
Характеристики|С бухгалтерскими терминами|нет
Характеристики|Срок годности в днях|10 000";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Штамп самонаборный Colop Pocket Stamp Plus 20-Set** используется для самостоятельного создания и оперативного изменения текста оттиска. Портативный пластиковый корпус с автоматическим окрашиванием. Оригинальный дизайн, открывается одной рукой. Оптимален в качестве личного штампа-визитки. Набор букв, цифр и символов с креплением на одной ножке, экспресс-набор текста. Размер поля — 38?14 мм, 4 строки. Максимальное количество знаков в каждой строке — 25 основным шрифтом или 17 большим шрифтом. Комплектация: штамп с рифленой пластиной для набора, одна касса букв Type Set A, синяя сменная штемпельная подушка E/PS Plus 20, пинцет. Внимание! При использовании для набора текста широких символов (Ж, М, Ф, Ш, Щ, Ю, Ы), цифр, пробелы, а также при комбинации шрифтов 2,2 мм и 3,1 мм, данные по максимальной вместимости символов будут снижаться. Так же символы требуется размещать с отступом от края (внутрь). При размещении символов на самом краю не будет отпечатываться середина оттиска.</span><br></p>";1270
5427694;Канцелярские товары;Штемпельная продукция|Нумераторы;Нумератор ручной Colop S120/13 13-разрядный;14-5106;Colop (Чехия);915.04;0;"Характеристики|Срок годности в днях|10 000
Характеристики|Материал|пластик
Характеристики|Тип|автоматический
Характеристики|Разрядность|13
Характеристики|Размер шрифта|3.8
Характеристики|Бренд|Colop";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Нумератор Colop S120/13**, пластиковый корпус с автоматическим окрашиванием. Установка номера с помощью колесиков. Имеется символ тире. 13-ти разрядный. Используется для нумерации документов, проставления артикулов, цен и другого. Высота шрифта — 3,8 мм. В комплекте: нумератор, синяя сменная подушка.</span><br></p>";1271
5427888;Канцелярские товары;Штемпельная продукция|Подушки сменные;Подушка штемпельная сменная E/30 синяя для PRINTER 30, 30 SET, С30, С30 SET;14-5109;Colop (Австрия);164.17;3;"Характеристики|Бренд|Colop
Характеристики|Материал|пластик
Характеристики|Форма подушки|прямоугольная
Характеристики|Цвет чернил|синий
Характеристики|Срок годности в днях|1 800";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Сменная штемпельная подушка Colop E/30** с краской синего цвета на водной основе с добавлением глицерина. Позволяет получить не менее 10 000 четких оттисков. Не рекомендуется заправлять краской - плотный верхний слой не пропустит ее внутрь. Поставляется в пластиковом футляре. Расходный материал Colop подходит только для продукции Colop.</span><br></p>";1272
5428801;Канцелярские товары;Штемпельная продукция|Штампы;Штамп стандартный Colop Printer C20 3.42 КОПИЯ ВЕРНА подпись;14-5110;Colop (Австрия);295.15;0;"Характеристики|Материал|пластик
Характеристики|Цвет чернил|синий
Характеристики|Размер поля/оттиска|14 х 38
Характеристики|Бренд|Colop";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Штамп стандартный Colop Printer C20 3.42** позволяет получить оттиск со словами «Копия верна» и полем для подписи. Выполнен в современном дизайне. Компактный надежный пластиковый корпус с поворотным окрашивающим механизмом. Размер оттиска — 38?14 мм. Прозрачное основание позволяет удобно и точно размещать штамп на документах. Цвет оснастки в ассортименте. Комплектация: штамп, синяя сменная штемпельная подушка E/20.</span><br></p>";1273
5428807;Канцелярские товары;Штемпельная продукция|Краски штемпельные;Краска штемпельная Colop 801 фиолетовая на водно-глицериновой основе 25 мл;14-5111;Colop (Германия);118.09;9;"Характеристики|Бренд|Colop
Характеристики|Основа|  водно-глицериновая основа
Характеристики|Цвет|фиолетовый
Характеристики|Объем, мл|25";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Штемпельная краска Colop 801** фиолетового цвета на водной основе с содержанием глицерина для дозаправки настольных штемпельных подушек. Используется с резиновым и полимерным клише. Предназначена для всех видов бумаги (кроме глянцевой) и картона. Минимальный срок хранения 5 лет. Флакон имеет дозатор и крышку, указывающую на цвет краски. Объем 25 мл</span><br></p>";1274
5428818;Канцелярские товары;Штемпельная продукция|Подушки настольные;Подушка штемпельная настольная Colop MICRO 1 неокрашенная 50х90 мм;14-5113;Colop (Чешская Республика);103.91;0;"Характеристики|Бренд|Colop
Характеристики|Материал|пластик
Характеристики|Цвет чернил|неокрашенная
Характеристики|Размер, мм|50х90
Характеристики|Срок годности в днях|10 000";"<p><span style=""color: rgb(33, 37, 41); font-family: &quot;PT Sans&quot;, sans-serif; font-size: 17px; background-color: rgb(250, 250, 250);"">**Подушка штемпельная настольная Colop Micro 1** поставляется в пластиковом корпусе без замка. Неокрашенная подушка подходит для любой краски, включая спиртосодержащую. Используются для окрашивания ручных штампов, изготовленных из резины или полимера. Размер оттиска 50 х 90мм. Минимальный срок хранения 5 лет.</span><br></p>";1275
